time_s,context,numSV,hdop,cn0_mean,gnss_hAcc,lidar_score,lidar_feature_count,rel_gnss,rel_lidar,rel_localization,sigma_gnss_m,sigma_lidar_pos_m,sigma_lidar_yaw_deg,n_particles,ess,ess_ratio,meas_dim,rule_R1,rule_R2,rule_R3,rule_R4,rule_R5,rule_R6,rule_R7,rule_R8,rule_R9,rule_R10
237.6,FeaturePoor,16,1.19403606030439,40.2152870458239,1.15960640397909,0.334990376019862,96,0.874503797115925,0.118077098369989,0.889322024608928,0.9,2.12447001104875,7.80009203977549,800,348.246380074982,0.435307975093728,5,0,0,0,0,0,1,0,0,1,0
237.7,FeaturePoor,14,1.12470264730893,37.95592921571,1.01838930120657,0.296434620449494,24,0,0.0893750380655223,0.0893750380655223,NaN,2.25309455324542,8.26314039168352,1600,1409.77209417583,0.881107558859892,3,1,0,0,0,0,1,0,0,0,0
237.8,FeaturePoor,14,1.22189583286019,39.7460527746791,1.24409605696501,0.233677275208385,63,0.822757555716577,0.0752799484753282,0.836100357789874,0.951319072444499,2.31776793422948,8.49596456322612,850,780.430720558895,0.918153788892818,5,0,0,0,0,0,1,0,0,0,0
237.9,FeaturePoor,15,1.15544114776176,35.3602628665669,1.32006749537227,0.262253305238891,81,0,0.0905781215295257,0.0905781215295257,NaN,2.24762038260192,8.24343337736689,1600,1531.90926880364,0.957443293002272,3,1,0,0,0,0,1,0,0,0,0
238,FeaturePoor,14,1.11615630250575,40.3418530836237,1.12424440744911,0.317816006102779,109,0.842844643186157,0.117725275839988,0.861345800916799,0.9,2.12602172222906,7.80567820002463,800,746.839173830905,0.933548967288631,5,0,0,0,0,0,1,0,0,1,0
238.1,FeaturePoor,14,1.25629508120414,39.3539943143341,0.863627961836232,0.348884839472627,46,0,0.105188779100997,0.105188779100997,NaN,2.18171780261691,8.00618408942088,1600,1351.63290741425,0.844770567133904,3,1,0,0,0,0,1,0,0,0,0
238.2,FeaturePoor,14,1.03277105332023,38.5461494071198,1.17574579764673,0.286613809050292,121,0.828798024693364,0.112772813428663,0.848104953113238,0.934480930791151,2.14793020147823,7.88454872532161,850,641.875358142315,0.755147480167429,5,0,0,0,0,0,1,0,0,0,0
238.3,FeaturePoor,13,0.912388388093196,38.3691189366637,1.35142881979803,0.299012548610585,99,0,0.108343533406091,0.108343533406091,NaN,2.16762813604684,7.95546128976861,1600,1520.73529421838,0.950459558886484,3,1,0,0,0,0,1,0,0,0,0
238.4,FeaturePoor,16,1.18351807955235,39.0912648823874,1.2993658916662,0.375374772684712,75,0.859203228056385,0.122456743964441,0.876444742309304,0.9,2.10520541553373,7.73073949592142,800,740.368913326607,0.925461141658259,5,0,0,0,0,0,1,0,0,1,0
238.5,FeaturePoor,15,1.28032718797201,38.8849399410168,1.13870807935245,0.36654627877288,101,0,0.129447453050023,0.129447453050023,NaN,2.07465434250273,7.62075563300982,1550,1436.68051951578,0.926890657752115,3,1,0,0,0,0,1,0,0,0,0
